bioid	biourl	fullname	wiki_fullname	wikientity	wikientity_dupechk	lastname	firstname	state	district	party	wiki_party	congress	wiki_congress	start time	end time
P000324	https://bioguideretro.congress.gov/Static_Files/data/P/P000324.xml	Timothy Pickering	Timothy Pickering	Q435168	1	Pickering	Timothy	MA	Massachusetts	Federalist	Federalist Party	8	8th United States Congress	1803-03-04T00:00:00Z	1805-03-04T00:00:00Z
								MA	Massachusetts	Federalist	Federalist Party	9	9th United States Congress	1805-03-04T00:00:00Z	1807-03-04T00:00:00Z
								MA	Massachusetts	Federalist	Federalist Party	10	10th United States Congress	1807-03-04T00:00:00Z	1809-03-04T00:00:00Z
								MA	Massachusetts	Federalist	Federalist Party	11	11th United States Congress	1809-03-04T00:00:00Z	1811-03-04T00:00:00Z
C000478	https://bioguideretro.congress.gov/Static_Files/data/C/C000478.xml	Alexander stephens Clay	Alexander S. Clay	Q1320724	1	Clay	Alexander stephens	GA	Georgia	Democrat	Democratic Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
								GA	Georgia	Democrat	Democratic Party	56	56th United States Congress	1899-03-04T00:00:00Z	1901-03-04T00:00:00Z
								GA	Georgia	Democrat	Democratic Party	57	57th United States Congress	1901-03-04T00:00:00Z	1903-03-04T00:00:00Z
								GA	Georgia	Democrat	Democratic Party	58	58th United States Congress	1903-03-04T00:00:00Z	1905-03-04T00:00:00Z
								GA	Georgia	Democrat	Democratic Party	59	59th United States Congress	1905-03-04T00:00:00Z	1907-03-04T00:00:00Z
								GA	Georgia	Democrat	Democratic Party	60	60th United States Congress	1907-03-04T00:00:00Z	1909-03-04T00:00:00Z
								GA	Georgia	Democrat	Democratic Party	61	61st United States Congress	1909-03-04T00:00:00Z	1911-03-04T00:00:00Z
B000745	https://bioguideretro.congress.gov/Static_Files/data/B/B000745.xml	Stephen row Bradley	Stephen R. Bradley	Q943343	1	Bradley	Stephen row	VT	Vermont	Anti-Administration	Anti-Administration	2	2nd United States Congress	1791-03-04T00:00:00Z	1793-03-04T00:00:00Z
								VT	Vermont	Anti-Administration	Anti-Administration	3	3rd United States Congress	1793-03-04T00:00:00Z	1795-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	7	7th United States Congress	1801-03-04T00:00:00Z	1803-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	8	8th United States Congress	1803-03-04T00:00:00Z	1805-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	9	9th United States Congress	1805-03-04T00:00:00Z	1807-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	10	10th United States Congress	1807-03-04T00:00:00Z	1809-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	11	11th United States Congress	1809-03-04T00:00:00Z	1811-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	12	12th United States Congress	1811-03-04T00:00:00Z	1813-03-04T00:00:00Z
