term	class	state	senator	bioguide_url	senator_name	rowval	rowvalChk
2	III	CT	J000182	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=J000182	William samuel Johnson	2 CT III J000182	0
5	I	MD	H000508	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=H000508	John Henry	5 MD I H000508	0
5	II	RI	B000739	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000739	William Bradford	5 RI II B000739	0
7	II	RI	G000427	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=G000427	Ray Greene	7 RI II G000427	0
8	III & I	NY	A000282	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=A000282	John, jr. Armstrong	8 NY III & I A000282	0
8	I	PA	M000029	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M000029	Samuel Maclay	8 PA I M000029	0
9	I	PA	M000029	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M000029	Samuel Maclay	9 PA I M000029	0
10	II ?	GA	B000084	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000084	Abraham Baldwin	10 GA II ? B000084	0
10	I	PA	M000029	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M000029	Samuel Maclay	10 PA I M000029	0
31	II	SC	B000168	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000168	Robert woodward Barnwell	31 SC II B000168	0
32	II	SC	S000605	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S000605	Robert barnwell Smith	32 SC II S000605	0
37	I	PA	C000068	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C000068	Simon Cameron	37 PA I C000068	0
37	II	SC	C000348	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=C000348	James, jr. Chesnut	37 SC II C000348	0
37	II	TN	N000096	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=N000096	Alfred osborn pope Nicholson	37 TN II N000096	0
62	II	IA	Y000046	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=Y000046	Lafayette Young	62 IA II Y000046	0
67	II	NM	F000011	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=F000011	Albert bacon Fall	67 NM II F000011	0
70	III	IL	S000534	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S000534	Frank leslie Smith	70 IL III S000534	0
72	II	TN	B000010	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000010	Nathan lynn Bachman	72 TN II B000010	0
79	II	AL	B000111	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000111	John hollis ii Bankhead	79 AL II B000111	0
79	II	AL	S001117	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001117	George robinson Swift	79 AL II S001117	0
81	III	KY	B000145	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=B000145	Alben william Barkley	81 KY III B000145	0
83	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	83 MO I S001136	0
84	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	84 MO I S001136	0
85	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	85 MO I S001136	0
86	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	86 MO I S001136	0
87	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	87 MO I S001136	0
88	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	88 MO I S001136	0
89	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	89 MO I S001136	0
90	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	90 MO I S001136	0
91	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	91 MO I S001136	0
92	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	92 MO I S001136	0
93	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	93 MO I S001136	0
94	I	MO	S001136	https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001136	William stuart (stuart) Symington	94 MO I S001136	0
