term	class	state	senator	senator_name	rowvalChk
1	I	CT	E000147	Oliver Ellsworth	1
1	III	CT	J000182	William samuel Johnson	1
1	I	DE	R000091	George Read	1
1	II	DE	B000226	Richard Bassett	1
1	II	GA	F000100	William Few	1
1	III	GA	G000526	James Gunn	1
1	I	MA	D000013	Tristram Dalton	1
1	II	MA	S001009	Caleb Strong	1
1	III	MD	H000508	John Henry	1
1	I	MD	C000185	Charles (of carrollton) Carroll	1
1	II	NC	J000198	Samuel Johnston	1
1	III	NC	H000368	Benjamin Hawkins	1
1	II	NH	W000633	Paine Wingate	1
1	III	NH	L000067	John Langdon	1
1	I	NJ	E000155	Jonathan Elmer	1
1	II	NJ	P000102	William Paterson	1
1	II	NJ	D000324	Philemon Dickinson	1
1	I	NY	S000154	Philip john Schuyler	1
1	III	NY	K000212	Rufus King	1
1	I	PA	M000031	William Maclay	1
1	III	PA	M000985	Robert Morris	1
1	I	RI	F000313	Theodore Foster	1
1	II	RI	S000805	Joseph, jr. Stanton	1
1	II	SC	B001186	Pierce Butler	1
1	III	SC	I000053	Ralph Izard	1
1	I	VA	M000858	James Monroe	1
1	I	VA	G000403	William Grayson	1
1	II	VA	L000201	Richard henry Lee	1
1	I	VA	W000059	John Walker	1
2	I	CT	E000147	Oliver Ellsworth	1
2	III	CT	J000182	William samuel Johnson	0
2	III	CT	S000349	Roger Sherman	1
2	I	DE	R000091	George Read	1
2	II	DE	B000226	Richard Bassett	1
2	II	GA	F000100	William Few	1
2	III	GA	G000526	James Gunn	1
2	II	KY	B000929	John Brown	1
2	III	KY	E000075	John Edwards	1
2	I	MA	C000009	George Cabot	1
2	II	MA	S001009	Caleb Strong	1
2	III	MD	H000508	John Henry	1
2	I	MD	C000185	Charles (of carrollton) Carroll	1
2	I	MD	P000473	Richard Potts	1
2	II	NC	J000198	Samuel Johnston	1
2	III	NC	H000368	Benjamin Hawkins	1
2	II	NH	W000633	Paine Wingate	1
2	III	NH	L000067	John Langdon	1
2	I	NJ	R000550	John Rutherfurd	1
2	II	NJ	D000324	Philemon Dickinson	1
2	I	NY	B001133	Aaron Burr	1
2	III	NY	K000212	Rufus King	1
2	III	PA	M000985	Robert Morris	1
2	I	RI	F000313	Theodore Foster	1
2	II	RI	S000805	Joseph, jr. Stanton	1
2	II	SC	B001186	Pierce Butler	1
2	III	SC	I000053	Ralph Izard	1
2	I	VA	M000858	James Monroe	1
2	II	VA	L000201	Richard henry Lee	1
2	II	VA	T000086	John Taylor	1
2	I	VT	R000350	Moses Robinson	1
2	III	VT	B000745	Stephen row Bradley	1
3	I	CT	E000147	Oliver Ellsworth	1
3	III	CT	M000828	Stephen mix Mitchell	1
3	III	CT	S000349	Roger Sherman	1
3	I	DE	L000115	Henry Latimer	1
3	I	DE	R000091	George Read	1
3	II	DE	V000104	John Vining	1
3	II	GA	J000017	James Jackson	1
3	III	GA	G000526	James Gunn	1
3	II	KY	B000929	John Brown	1
3	III	KY	E000075	John Edwards	1
3	I	MA	C000009	George Cabot	1
3	II	MA	S001009	Caleb Strong	1
3	III	MD	H000508	John Henry	1
3	I	MD	P000473	Richard Potts	1
3	II	NC	M000166	Alexander Martin	1
3	III	NC	H000368	Benjamin Hawkins	1
3	II	NH	L000364	Samuel Livermore	1
3	III	NH	L000067	John Langdon	1
3	I	NJ	R000550	John Rutherfurd	1
3	II	NJ	F000368	Frederick Frelinghuysen	1
3	I	NY	B001133	Aaron Burr	1
3	III	NY	K000212	Rufus King	1
3	I	PA	R000448	James Ross	1
3	III	PA	M000985	Robert Morris	1
3	I	RI	F000313	Theodore Foster	1
3	II	RI	B000739	William Bradford	1
3	II	SC	B001186	Pierce Butler	1
3	III	SC	I000053	Ralph Izard	1
3	I	VA	M000226	Stevens thomson Mason	1
3	I	VA	M000858	James Monroe	1
3	II	VA	T000086	John Taylor	1
3	II	VA	T000107	Henry Tazewell	1
3	I	VT	R000350	Moses Robinson	1
3	III	VT	B000745	Stephen row Bradley	1
4	I	CT	E000147	Oliver Ellsworth	1
4	I	CT	H000618	James Hillhouse	1
4	III	CT	T000348	Uriah Tracy	1
4	III	CT	T000389	Jonathan, jr. Trumbull	1
4	I	DE	L000115	Henry Latimer	1
4	II	DE	V000104	John Vining	1
4	II	GA	J000017	James Jackson	1
4	II	GA	T000052	Josiah Tattnall	1
4	II	GA	W000114	George Walton	1
4	III	GA	G000526	James Gunn	1
4	II	KY	B000929	John Brown	1
4	III	KY	M000155	Humphrey Marshall	1
4	I	MA	C000009	George Cabot	1
4	I	MA	G000286	Benjamin Goodhue	1
4	II	MA	S000222	Theodore Sedgwick	1
4	II	MA	S001009	Caleb Strong	1
4	III	MD	H000508	John Henry	1
4	I	MD	H000841	John eager Howard	1
4	I	MD	P000473	Richard Potts	1
4	II	NC	M000166	Alexander Martin	1
4	III	NC	B000563	Timothy Bloodworth	1
4	II	NH	L000364	Samuel Livermore	1
4	III	NH	L000067	John Langdon	1
4	I	NJ	R000550	John Rutherfurd	1
4	II	NJ	F000368	Frederick Frelinghuysen	1
4	II	NJ	S000941	Richard Stockton	1
4	I	NY	B001133	Aaron Burr	1
4	III	NY	K000212	Rufus King	1
4	III	NY	L000120	John Laurance	1
4	I	PA	R000448	James Ross	1
4	III	PA	B000474	William Bingham	1
4	I	RI	F000313	Theodore Foster	1
4	II	RI	B000739	William Bradford	1
4	II	SC	B001186	Pierce Butler	1
4	II	SC	H000982	John Hunter	1
4	III	SC	R000092	Jacob Read	1
4	I	TN	C000572	William Cocke	1
4	II	TN	B000570	William Blount	1
4	I	VA	M000226	Stevens thomson Mason	1
4	II	VA	T000107	Henry Tazewell	1
