state	short	stateLabel	constituency
http://www.wikidata.org/entity/Q173	AL	Alabama	http://www.wikidata.org/entity/Q58425052
http://www.wikidata.org/entity/Q724	ME	Maine	http://www.wikidata.org/entity/Q58425075
http://www.wikidata.org/entity/Q771	MA	Massachusetts	http://www.wikidata.org/entity/Q58425077
http://www.wikidata.org/entity/Q759	NH	New Hampshire	http://www.wikidata.org/entity/Q58425090
http://www.wikidata.org/entity/Q779	CT	Connecticut	http://www.wikidata.org/entity/Q58425060
http://www.wikidata.org/entity/Q99	CA	California	http://www.wikidata.org/entity/Q58425058
http://www.wikidata.org/entity/Q782	HI	Hawaii	http://www.wikidata.org/entity/Q58425066
http://www.wikidata.org/entity/Q797	AK	Alaska	http://www.wikidata.org/entity/Q58425053
http://www.wikidata.org/entity/Q816	AZ	Arizona	http://www.wikidata.org/entity/Q58425055
http://www.wikidata.org/entity/Q812	FL	Florida	http://www.wikidata.org/entity/Q58425062
http://www.wikidata.org/entity/Q824	OR	Oregon	http://www.wikidata.org/entity/Q58425098
http://www.wikidata.org/entity/Q829	UT	Utah	http://www.wikidata.org/entity/Q58425108
http://www.wikidata.org/entity/Q1166	MI	Michigan	http://www.wikidata.org/entity/Q58425079
http://www.wikidata.org/entity/Q1204	IL	Illinois	http://www.wikidata.org/entity/Q58425068
http://www.wikidata.org/entity/Q1207	ND	North Dakota	http://www.wikidata.org/entity/Q58425095
http://www.wikidata.org/entity/Q1211	SD	South Dakota	http://www.wikidata.org/entity/Q58425102
http://www.wikidata.org/entity/Q1221	ID	Idaho	http://www.wikidata.org/entity/Q58425067
http://www.wikidata.org/entity/Q1212	MT	Montana	http://www.wikidata.org/entity/Q58425085
http://www.wikidata.org/entity/Q1214	WY	Wyoming	http://www.wikidata.org/entity/Q58425114
http://www.wikidata.org/entity/Q1227	NV	Nevada	http://www.wikidata.org/entity/Q58425088
http://www.wikidata.org/entity/Q1371	WV	West Virginia	http://www.wikidata.org/entity/Q58425112
http://www.wikidata.org/entity/Q1261	CO	Colorado	http://www.wikidata.org/entity/Q58425059
http://www.wikidata.org/entity/Q1223	WA	Washington	http://www.wikidata.org/entity/Q58425111
http://www.wikidata.org/entity/Q1387	RI	Rhode Island	http://www.wikidata.org/entity/Q58425100
http://www.wikidata.org/entity/Q1370	VA	Virginia	http://www.wikidata.org/entity/Q58425110
http://www.wikidata.org/entity/Q1391	MD	Maryland	http://www.wikidata.org/entity/Q58425076
http://www.wikidata.org/entity/Q1393	DE	Delaware	http://www.wikidata.org/entity/Q58425061
http://www.wikidata.org/entity/Q1397	OH	Ohio	http://www.wikidata.org/entity/Q58425096
http://www.wikidata.org/entity/Q1400	PA	Pennsylvania	http://www.wikidata.org/entity/Q58425099
http://www.wikidata.org/entity/Q1408	NJ	New Jersey	http://www.wikidata.org/entity/Q58425091
http://www.wikidata.org/entity/Q1384	NY	New York	http://www.wikidata.org/entity/Q58425093
http://www.wikidata.org/entity/Q1415	IN	Indiana	http://www.wikidata.org/entity/Q58425069
http://www.wikidata.org/entity/Q1428	GA	Georgia	http://www.wikidata.org/entity/Q58425064
http://www.wikidata.org/entity/Q1454	NC	North Carolina	http://www.wikidata.org/entity/Q58425094
http://www.wikidata.org/entity/Q1456	SC	South Carolina	http://www.wikidata.org/entity/Q58425101
http://www.wikidata.org/entity/Q1439	TX	Texas	http://www.wikidata.org/entity/Q58425106
http://www.wikidata.org/entity/Q1494	MS	Mississippi	http://www.wikidata.org/entity/Q58425083
http://www.wikidata.org/entity/Q1522	NM	New Mexico	http://www.wikidata.org/entity/Q58425092
http://www.wikidata.org/entity/Q1509	TN	Tennessee	http://www.wikidata.org/entity/Q58425104
http://www.wikidata.org/entity/Q1527	MN	Minnesota	http://www.wikidata.org/entity/Q58425081
http://www.wikidata.org/entity/Q1537	WI	Wisconsin	http://www.wikidata.org/entity/Q58425113
http://www.wikidata.org/entity/Q1546	IA	Iowa	http://www.wikidata.org/entity/Q58425070
http://www.wikidata.org/entity/Q1553	NE	Nebraska	http://www.wikidata.org/entity/Q58425086
http://www.wikidata.org/entity/Q1558	KS	Kansas	http://www.wikidata.org/entity/Q58425071
http://www.wikidata.org/entity/Q1588	LA	Louisiana	http://www.wikidata.org/entity/Q58425074
http://www.wikidata.org/entity/Q1581	MO	Missouri	http://www.wikidata.org/entity/Q58425084
http://www.wikidata.org/entity/Q1603	KY	Kentucky	http://www.wikidata.org/entity/Q58425073
http://www.wikidata.org/entity/Q1612	AR	Arkansas	http://www.wikidata.org/entity/Q58425057
http://www.wikidata.org/entity/Q1649	OK	Oklahoma	http://www.wikidata.org/entity/Q58425097
http://www.wikidata.org/entity/Q16551	VT	Vermont	http://www.wikidata.org/entity/Q58425109
