term	class	state	senator	wiki_senator	rowval	rowchk	bioid_cross
2	I	PA	Albert Gallatin	Albert Gallatin	2 PA I	0	
3	I	MD	Richard Potts	Richard Potts	3 MD I H000508	0	H000508
3	I	PA	Albert Gallatin	Albert Gallatin	3 PA I	0	
4	III	MD	James Lloyd	James Lloyd	4 MD III L000377	0	L000377
4	II	RI	Ray Greene	Ray Greene	4 RI II G000427	0	G000427
6	II	RI	Christopher Ellery	Christopher Ellery	6 RI II E000114	0	E000114
8	III	NY	John Armstrong Jr.	John Armstrong Jr.	8 NY III A000282	0	A000282
22	III	NY	Silas Wright Jr.	Silas Wright Jr.	22 NY III W000770	0	W000770
28	III	LA	Alexander Porter	Alexander Porter	28 LA III P000436	0	P000436
28	III	NY	John Adams Dix	John Adams Dix	28 NY III D000365	0	D000365
33	II	MA	Henry Wilson	Henry Wilson	33 MA II W000585	0	W000585
35	III	OR	Joseph Lane	Joseph Lane	35 OR III L000062	0	L000062
39	I	NE	Thomas Tipton	Thomas Tipton	39 NE I T000286	0	T000286
51	II	NH	Gilman Marston	Gilman Marston	51 NH II M000165	0	M000165
56	I	PA	Matthew S. Quay	Matthew S. Quay	56 PA I Q000006	0	Q000006
57	I	DE	L. Heisler Ball	L. Heisler Ball	57 DE I B000100	0	B000100
57	II	NJ	William Joyce Sewell	William Joyce Sewell	57 NJ II S000262	0	S000262
58	III	CT	Frank B. Brandegee	Frank B. Brandegee	58 CT III B000769	0	B000769
59	II	KS	Charles Curtis	Charles Curtis	59 KS II C001008	0	C001008
60	III	FL	Stephen Mallory II	Stephen Mallory II	60 FL III M000085	0	M000085
61	II	IA	William S. Kenyon	William S. Kenyon	61 IA II K000129	0	K000129
67	I	PA	Philander C. Knox	Philander C. Knox	67 PA I K000296	0	K000296
68	III	CT	Hiram Bingham III	Hiram Bingham III	68 CT III B000470	0	B000470
75	II	TN	Tom Stewart	Tom Stewart	75 TN II S000901	0	S000901
78	II	AL	George R. Swift	George R. Swift	78 AL II S001117	0	S001117
78	II	AL	John Sparkman	John Sparkman	78 AL II S000701	0	S000701
78	II	MA	Leverett Saltonstall	Leverett Saltonstall	78 MA II S000021	0	S000021
80	III	KY	Garrett L. Withers	Garrett L. Withers	80 KY III W000658	0	W000658
98	II	MA	John Kerry	John Kerry	98 MA II K000148	0	K000148
112	III	SC	Tim Scott	Tim Scott	112 SC III S001184	0	S001184
