class	term	state	entity	bioguide_id	rowvalChk
I	1	CT	Q515858	E000147	1
III	1	CT	Q182543	J000182	1
I	1	DE	Q471303	R000091	1
II	1	DE	Q518823	B000226	1
II	1	GA	Q664099	F000100	1
III	1	GA	Q956982	G000526	1
I	1	MA	Q1365791	D000013	1
II	1	MA	Q546613	S001009	1
I	1	MD	Q466009	C000185	1
III	1	MD	Q202950	H000508	1
II	1	NC	Q730149	J000198	1
III	1	NC	Q2896102	H000368	1
II	1	NH	Q1638165	W000633	1
III	1	NH	Q554454	L000067	1
I	1	NJ	Q929830	E000155	1
II	1	NJ	Q2702466	D000324	1
II	1	NJ	Q729054	P000102	1
I	1	NY	Q1115886	S000154	1
III	1	NY	Q456794	K000212	1
I	1	PA	Q442393	M000031	1
III	1	PA	Q464876	M000985	1
I	1	RI	Q431894	F000313	1
II	1	RI	Q431857	S000805	1
II	1	SC	Q2530426	B001186	1
III	1	SC	Q969896	I000053	1
I	1	VA	Q11815	M000858	1
I	1	VA	Q450549	W000059	1
I	1	VA	Q471060	G000403	1
II	1	VA	Q725907	L000201	1
I	10	CT	Q373534	H000618	1
III	10	CT	Q15079782	G000293	1
III	10	CT	Q650446	T000348	1
I	10	DE	Q443094	W000392	1
II	10	DE	Q1679889	B000249	1
II	10	GA	Q1291920	J000220	1
II	10	GA	Q175877	C000895	1
III	10	GA	Q885464	M000712	1
II	10	KY	Q744435	T000249	1
III	10	KY	Q364769	P000431	1
I	10	MA	Q11816	A000041	1
I	10	MA	Q1680712	L000378	1
II	10	MA	Q435168	P000324	1
I	10	MD	Q381600	S000609	1
III	10	MD	Q6065941	R000125	1
II	10	NC	Q369751	T000423	1
III	10	NC	Q287094	F000344	1
II	10	NH	Q2048880	G000215	1
III	10	NH	Q1963767	P000067	1
I	10	NJ	Q381565	C000671	1
II	10	NJ	Q302196	K000246	1
I	10	NY	Q218623	M000831	1
III	10	NY	Q1701775	S000566	1
I	10	OH	Q541460	S000567	1
I	10	OH	Q744819	M000633	1
III	10	OH	Q884891	T000268	1
I	10	PA	Q1928420	L000229	1
III	10	PA	Q504939	G000442	1
I	10	RI	Q432864	H000870	1
II	10	RI	Q446820	M000240	1
II	10	RI	Q880519	F000074	1
II	10	SC	Q328197	S001073	1
III	10	SC	Q1700157	G000005	1
I	10	TN	Q925017	A000197	1
II	10	TN	Q343267	S000524	1
I	10	VA	Q506358	M000891	1
II	10	VA	Q881122	G000183	1
I	10	VT	Q328445	S000557	1
I	10	VT	Q434708	R000346	1
III	10	VT	Q943343	B000745	1
II	100	AK	Q50599	S000888	1
III	100	AK	Q448813	M001085	1
II	100	AL	Q704244	H000445	1
III	100	AL	Q472254	S000320	1
II	100	AR	Q881301	P000556	1
III	100	AR	Q881361	B001057	1
I	100	AZ	Q1189069	D000185	1
III	100	AZ	Q10390	M000303	1
I	100	CA	Q714909	W000607	1
III	100	CA	Q1994957	C000877	1
II	100	CO	Q744037	A000219	1
III	100	CO	Q1027431	W000647	1
I	100	CT	Q881318	W000253	1
III	100	CT	Q319111	D000388	1
I	100	DE	Q1400609	R000460	1
II	100	DE	Q6279	B000444	1
I	100	FL	Q744098	C000356	1
III	100	FL	Q578102	G000352	1
II	100	GA	Q946305	N000171	1
III	100	GA	Q446778	F000329	1
I	100	HI	Q977134	M000250	1
III	100	HI	Q312845	I000025	1
II	100	IA	Q465617	H000206	1
III	100	IA	Q529294	G000386	1
II	100	ID	Q955218	M000346	1
III	100	ID	Q529753	S001138	1
II	100	IL	Q712134	S000423	1
III	100	IL	Q1886056	D000366	1
I	100	IN	Q363079	L000504	1
III	100	IN	Q49214	Q000007	1
II	100	KS	Q458281	K000017	1
III	100	KS	Q319079	D000401	1
II	100	KY	Q355522	M000355	1
III	100	KY	Q361139	F000268	1
II	100	LA	Q4889708	J000189	1
III	100	LA	Q969757	B000780	1
I	100	MA	Q134549	K000105	1
II	100	MA	Q22316	K000148	1
I	100	MD	Q1895804	S000064	1
III	100	MD	Q261147	M000702	1
I	100	ME	Q368920	M000811	1
II	100	ME	Q710721	C000598	1
I	100	MI	Q1240457	R000249	1
II	100	MI	Q444652	L000261	1
I	100	MN	Q1174268	D000566	1
II	100	MN	Q216174	B000647	1
I	100	MO	Q1287554	D000030	1
III	100	MO	Q560427	B000611	1
I	100	MS	Q1699509	S000852	1
II	100	MS	Q723896	C000567	1
I	100	MT	Q355894	M000635	1
II	100	MT	Q470748	B000243	1
II	100	NC	Q503426	H000463	1
III	100	NC	Q878810	S000055	1
I	100	ND	Q963214	B001077	1
III	100	ND	Q553349	C000705	1
I	100	NE	Q265668	Z000013	1
I	100	NE	Q5235859	K000011	1
II	100	NE	Q881037	E000284	1
II	100	NH	Q5585350	H000951	1
III	100	NH	Q60547	R000497	1
I	100	NJ	Q508752	L000123	1
II	100	NJ	Q504025	B001225	1
I	100	NM	Q705498	B000468	1
II	100	NM	Q964959	D000407	1
I	100	NV	Q1071782	H000439	1
III	100	NV	Q314459	R000146	1
I	100	NY	Q713505	M001054	1
III	100	NY	Q2064037	D000018	1
I	100	OH	Q330165	M000678	1
III	100	OH	Q182642	G000236	1
II	100	OK	Q882362	B000639	1
III	100	OK	Q1239374	N000102	1
II	100	OR	Q879921	H000343	1
III	100	OR	Q888183	P000009	1
I	100	PA	Q705697	H000456	1
III	100	PA	Q363055	S000709	1
I	100	RI	Q887338	C000269	1
II	100	RI	Q1094716	P000193	1
II	100	SC	Q324719	T000254	1
III	100	SC	Q596008	H000725	1
II	100	SD	Q518447	P000513	1
III	100	SD	Q443640	D000064	1
I	100	TN	Q1807209	S000068	1
II	100	TN	Q19673	G000321	1
I	100	TX	Q455401	B000401	1
II	100	TX	Q2613704	G000365	1
I	100	UT	Q381157	H000338	1
III	100	UT	Q519256	G000072	1
I	100	VA	Q6215217	T000367	1
II	100	VA	Q464810	W000154	1
I	100	VT	Q433140	S000776	1
III	100	VT	Q59315	L000174	1
I	100	WA	Q880613	E000236	1
III	100	WA	Q357718	A000031	1
I	100	WI	Q1894476	P000553	1
III	100	WI	Q368462	K000019	1
I	100	WV	Q276524	B001210	1
II	100	WV	Q285102	R000361	1
I	100	WY	Q984376	W000092	1
II	100	WY	Q2636748	S000429	1
II	101	AK	Q50599	S000888	1
III	101	AK	Q448813	M001085	1
II	101	AL	Q704244	H000445	1
III	101	AL	Q472254	S000320	1
II	101	AR	Q881301	P000556	1
III	101	AR	Q881361	B001057	1
I	101	AZ	Q1189069	D000185	1
III	101	AZ	Q10390	M000303	1
I	101	CA	Q714909	W000607	1
III	101	CA	Q1994957	C000877	1
II	101	CO	Q744037	A000219	1
III	101	CO	Q1027431	W000647	1
I	101	CT	Q160157	L000304	1
III	101	CT	Q319111	D000388	1
I	101	DE	Q1400609	R000460	1
II	101	DE	Q6279	B000444	1
I	101	FL	Q436535	M000019	1
III	101	FL	Q578102	G000352	1
II	101	GA	Q946305	N000171	1
III	101	GA	Q446778	F000329	1
I	101	HI	Q359366	A000069	1
I	101	HI	Q977134	M000250	1
III	101	HI	Q312845	I000025	1
II	101	IA	Q465617	H000206	1
III	101	IA	Q529294	G000386	1
II	101	ID	Q955218	M000346	1
III	101	ID	Q529753	S001138	1
II	101	IL	Q712134	S000423	1
III	101	IL	Q1886056	D000366	1
I	101	IN	Q363079	L000504	1
III	101	IN	Q632321	C000542	1
II	101	KS	Q458281	K000017	1
III	101	KS	Q319079	D000401	1
II	101	KY	Q355522	M000355	1
III	101	KY	Q361139	F000268	1
II	101	LA	Q4889708	J000189	1
III	101	LA	Q969757	B000780	1
I	101	MA	Q134549	K000105	1
II	101	MA	Q22316	K000148	1
I	101	MD	Q1895804	S000064	1
III	101	MD	Q261147	M000702	1
I	101	ME	Q368920	M000811	1
II	101	ME	Q710721	C000598	1
I	101	MI	Q1240457	R000249	1
II	101	MI	Q444652	L000261	1
I	101	MN	Q1174268	D000566	1
II	101	MN	Q216174	B000647	1
I	101	MO	Q1287554	D000030	1
III	101	MO	Q560427	B000611	1
I	101	MS	Q50608	L000447	1
II	101	MS	Q723896	C000567	1
I	101	MT	Q1126725	B001126	1
II	101	MT	Q470748	B000243	1
II	101	NC	Q503426	H000463	1
III	101	NC	Q878810	S000055	1
I	101	ND	Q963214	B001077	1
III	101	ND	Q553349	C000705	1
I	101	NE	Q39718	K000146	1
II	101	NE	Q881037	E000284	1
II	101	NH	Q5585350	H000951	1
II	101	NH	Q6182103	S000606	1
III	101	NH	Q60547	R000497	1
